#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R4.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)HA,(2)TH,(3)ST,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2021/11/17 13:59:38,090000
サンプリング周期,10ms
データ数,33110
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-HA08共通,NR-TH08共通
実サンプリング周期,10ms,100ms
計測機能設定,平均回数   未使用,アベレージ回数   未使用
AD積分時間,***,2ms(500Hz)
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,***,***
断線検出値,***,***
デジタルフィルタ,***,***
その他,***,バーンアウト値   下限値
デジタルフィルタ,***,***
停止予測,***,***

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)HA-V01,(1)HA-V02,(1)HA-V03,(1)HA-V07,(2)TH-CH01,(2)TH-CH02,(2)TH-CH03,(2)TH-CH07
波形名,,"供給圧力","チャンバ内圧力","直上圧力_O-LINE","流量_O-LINE_X","燃焼室上流温度","燃焼室中央温度","燃焼室下流温度","バルブ_O-LINE"
入力レンジ,,±5V,±5V,±5V,±5V,K熱電対,K熱電対,K熱電対,±10V
単位,,"MPaA","MPaA","MPaA","ml/s","ﾟC","ﾟC","ﾟC","V"
計測機能,,平均   OFF,平均   OFF,平均   OFF,平均   OFF,アベレージ   OFF,アベレージ   OFF,アベレージ   OFF,アベレージ   OFF
ホールド,,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
エッジトリガ,,未使用,未使用,未使用,未使用,未使用,未使用,未使用,未使用
トリガレベル,,,,,,,,,
ヒステリシス,,,,,,,,,
スムージング,,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
ポイント数,,,,,,,,,
スケーリング,,ON,ON,ON,ON,OFF,OFF,OFF,OFF
計測値1,,0,0,0,0,,,,
計測値2,,1,1,1,1,,,,
表示値1,,-0.148675,-0.398675,-0.148675,0,,,,
表示値2,,0.267992,0.434658,0.267992,3.333,,,,
カップリング,,,,,,,,,
センサタイプ,,,,,,,,,
ローパスフィルタ,,,,,,,,,
ハイパスフィルタ,,,,,,,,,
感度,,,,,,,,,
基本単位,,,,,,,,,
極性,,,,,,,,,
しきい値電圧,,,,,,,,,
ヒステリシス,,,,,,,,,
パルス分周,,,,,,,,,

#EndHeader,日時(μs),(1)HA-V01,(1)HA-V02,(1)HA-V03,(1)HA-V07,(2)TH-CH01,(2)TH-CH02,(2)TH-CH03,(2)TH-CH07
2021/11/17 13:59:38,090000,0.510,0.113,0.508,0.000,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,100000,0.509,0.120,0.506,0.000,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,110000,0.500,0.120,0.507,0.007,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,120000,0.500,0.119,0.505,0.003,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,130000,0.504,0.118,0.507,0.003,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,140000,0.501,0.123,0.505,0.007,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,150000,0.498,0.124,0.510,0.003,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,160000,0.503,0.128,0.505,0.010,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,170000,0.510,0.120,0.504,0.000,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,180000,0.503,0.115,0.510,0.007,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,190000,0.504,0.118,0.505,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,200000,0.503,0.115,0.508,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,210000,0.498,0.115,0.514,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,220000,0.505,0.117,0.505,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,230000,0.504,0.113,0.506,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,240000,0.502,0.116,0.514,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,250000,0.503,0.122,0.510,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,260000,0.503,0.114,0.516,-0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,270000,0.508,0.117,0.505,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,280000,0.500,0.120,0.505,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,290000,0.500,0.118,0.505,0.003,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,300000,0.501,0.112,0.507,0.000,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,310000,0.512,0.120,0.502,0.003,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,320000,0.502,0.119,0.505,0.000,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,330000,0.510,0.123,0.508,0.000,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,340000,0.505,0.117,0.503,0.007,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,350000,0.505,0.108,0.508,0.017,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,360000,0.498,0.124,0.507,0.013,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,370000,0.505,0.105,0.511,0.003,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,380000,0.499,0.115,0.506,0.000,166.55,253.75,299.10,0.004
2021/11/17 13:59:38,390000,0.503,0.127,0.504,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,400000,0.505,0.117,0.505,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,410000,0.503,0.114,0.507,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,420000,0.503,0.109,0.504,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,430000,0.508,0.114,0.511,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,440000,0.503,0.109,0.505,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,450000,0.501,0.124,0.509,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,460000,0.500,0.131,0.505,0.010,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,470000,0.503,0.121,0.503,0.013,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,480000,0.501,0.125,0.503,0.013,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,490000,0.503,0.125,0.504,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,500000,0.502,0.116,0.502,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,510000,0.504,0.120,0.507,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,520000,0.504,0.115,0.505,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,530000,0.509,0.114,0.508,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,540000,0.510,0.121,0.508,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,550000,0.500,0.113,0.507,0.013,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,560000,0.505,0.108,0.505,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,570000,0.504,0.109,0.505,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,580000,0.509,0.118,0.503,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,590000,0.511,0.110,0.508,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,600000,0.507,0.124,0.505,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,610000,0.500,0.123,0.517,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,620000,0.502,0.117,0.510,0.010,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,630000,0.503,0.117,0.506,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,640000,0.502,0.117,0.504,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,650000,0.504,0.124,0.502,0.010,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,660000,0.500,0.117,0.511,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,670000,0.503,0.115,0.510,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,680000,0.500,0.115,0.508,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,690000,0.509,0.112,0.508,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,700000,0.500,0.108,0.511,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,710000,0.505,0.111,0.510,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,720000,0.500,0.124,0.504,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,730000,0.506,0.121,0.504,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,740000,0.501,0.120,0.503,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,750000,0.509,0.116,0.504,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,760000,0.502,0.121,0.503,0.003,166.55,253.75,299.05,0.004
